"","alert__week","average"
"1",1,3232.53846153846
"2",2,2065.92307692308
"3",3,1109.85714285714
"4",4,775.642857142857
"5",5,943.142857142857
"6",6,841.214285714286
"7",7,783.928571428571
"8",8,808.785714285714
"9",9,668.928571428571
"10",10,605.214285714286
"11",11,641.071428571429
"12",12,739.071428571429
"13",13,939.571428571429
"14",14,1508.35714285714
"15",15,1437.92857142857
"16",16,1840.07142857143
"17",17,1413.21428571429
"18",18,1726.85714285714
"19",19,1860.78571428571
"20",20,1821.42857142857
"21",21,1283.71428571429
"22",22,885.571428571429
"23",23,1099
"24",24,992.785714285714
"25",25,1038.78571428571
"26",26,952.642857142857
"27",27,929.928571428571
"28",28,893.714285714286
"29",29,1086.78571428571
"30",30,1268.92857142857
"31",31,1176.61538461538
"32",32,1440.15384615385
"33",33,1671.15384615385
"34",34,1765.42857142857
"35",35,1849.14285714286
"36",36,2609.14285714286
"37",37,2579.35714285714
"38",38,3592.28571428571
"39",39,2924.21428571429
"40",40,4205.28571428571
"41",41,4693.57142857143
"42",42,5812.64285714286
"43",43,6487.61538461538
"44",44,5206.46153846154
"45",45,5106.76923076923
"46",46,3895.15384615385
"47",47,3648.69230769231
"48",48,3125.15384615385
"49",49,3682.30769230769
"50",50,2114.61538461538
"51",51,2373.84615384615
"52",52,2114.61538461538
"53",53,297
