"","subnational1","year","Total_Value"
"1","Australian Capital Territory",2001,241
"2","Australian Capital Territory",2002,691
"3","Australian Capital Territory",2003,9374
"4","Australian Capital Territory",2004,103
"5","Australian Capital Territory",2005,126
"6","Australian Capital Territory",2006,27
"7","Australian Capital Territory",2007,23
"8","Australian Capital Territory",2008,9
"9","Australian Capital Territory",2009,27
"10","Australian Capital Territory",2010,106
"11","Australian Capital Territory",2011,34
"12","Australian Capital Territory",2012,115
"13","Australian Capital Territory",2013,216
"14","Australian Capital Territory",2014,273
"15","Australian Capital Territory",2015,453
"16","Australian Capital Territory",2016,931
"17","Australian Capital Territory",2017,209
"18","Australian Capital Territory",2018,295
"19","Australian Capital Territory",2019,847
"20","Australian Capital Territory",2020,51816
"21","Australian Capital Territory",2021,153
"22","Australian Capital Territory",2022,143
"23","Australian Capital Territory",2023,73
"24","Australian Capital Territory",2024,348
"25","New South Wales",2001,8655
"26","New South Wales",2002,12879
"27","New South Wales",2003,36253
"28","New South Wales",2004,17581
"29","New South Wales",2005,18958
"30","New South Wales",2006,18036
"31","New South Wales",2007,33589
"32","New South Wales",2008,20739
"33","New South Wales",2009,21145
"34","New South Wales",2010,24952
"35","New South Wales",2011,16052
"36","New South Wales",2012,28990
"37","New South Wales",2013,70162
"38","New South Wales",2014,37648
"39","New South Wales",2015,31041
"40","New South Wales",2016,58403
"41","New South Wales",2017,40178
"42","New South Wales",2018,42835
"43","New South Wales",2019,754378
"44","New South Wales",2020,1120441
"45","New South Wales",2021,90134
"46","New South Wales",2022,14218
"47","New South Wales",2023,23535
"48","New South Wales",2024,13964
"49","Northern Territory",2001,70
"50","Northern Territory",2002,115
"51","Northern Territory",2003,132
"52","Northern Territory",2004,257
"53","Northern Territory",2005,560
"54","Northern Territory",2006,933
"55","Northern Territory",2007,630
"56","Northern Territory",2008,520
"57","Northern Territory",2009,156
"58","Northern Territory",2010,137
"59","Northern Territory",2011,49
"60","Northern Territory",2012,177
"61","Northern Territory",2013,163
"62","Northern Territory",2014,296
"63","Northern Territory",2015,46
"64","Northern Territory",2016,21
"65","Northern Territory",2017,7
"66","Northern Territory",2018,0
"67","Northern Territory",2019,6
"68","Northern Territory",2020,2
"69","Northern Territory",2021,1
"70","Northern Territory",2022,5
"71","Northern Territory",2023,2
"72","Northern Territory",2024,1
"73","Queensland",2001,7632
"74","Queensland",2002,8043
"75","Queensland",2003,10746
"76","Queensland",2004,10204
"77","Queensland",2005,10457
"78","Queensland",2006,10462
"79","Queensland",2007,11366
"80","Queensland",2008,10677
"81","Queensland",2009,9470
"82","Queensland",2010,9870
"83","Queensland",2011,23406
"84","Queensland",2012,10429
"85","Queensland",2013,14634
"86","Queensland",2014,22407
"87","Queensland",2015,16772
"88","Queensland",2016,17346
"89","Queensland",2017,28638
"90","Queensland",2018,15109
"91","Queensland",2019,69064
"92","Queensland",2020,14667
"93","Queensland",2021,21442
"94","Queensland",2022,8750
"95","Queensland",2023,7397
"96","Queensland",2024,5927
"97","South Australia",2001,5543
"98","South Australia",2002,6585
"99","South Australia",2003,5436
"100","South Australia",2004,5235
"101","South Australia",2005,6603
"102","South Australia",2006,8374
"103","South Australia",2007,16177
"104","South Australia",2008,27610
"105","South Australia",2009,5121
"106","South Australia",2010,3239
"107","South Australia",2011,5539
"108","South Australia",2012,3649
"109","South Australia",2013,3984
"110","South Australia",2014,5487
"111","South Australia",2015,5235
"112","South Australia",2016,9257
"113","South Australia",2017,9046
"114","South Australia",2018,5230
"115","South Australia",2019,4686
"116","South Australia",2020,58626
"117","South Australia",2021,4980
"118","South Australia",2022,4051
"119","South Australia",2023,2647
"120","South Australia",2024,4926
"121","Tasmania",2001,20795
"122","Tasmania",2002,21323
"123","Tasmania",2003,29398
"124","Tasmania",2004,32828
"125","Tasmania",2005,23487
"126","Tasmania",2006,29796
"127","Tasmania",2007,44536
"128","Tasmania",2008,29540
"129","Tasmania",2009,26827
"130","Tasmania",2010,19616
"131","Tasmania",2011,10538
"132","Tasmania",2012,9740
"133","Tasmania",2013,39918
"134","Tasmania",2014,42777
"135","Tasmania",2015,15956
"136","Tasmania",2016,92763
"137","Tasmania",2017,32335
"138","Tasmania",2018,38361
"139","Tasmania",2019,171458
"140","Tasmania",2020,40674
"141","Tasmania",2021,28439
"142","Tasmania",2022,18131
"143","Tasmania",2023,23399
"144","Tasmania",2024,23500
"145","Victoria",2001,16084
"146","Victoria",2002,17398
"147","Victoria",2003,48114
"148","Victoria",2004,14955
"149","Victoria",2005,19835
"150","Victoria",2006,23392
"151","Victoria",2007,51332
"152","Victoria",2008,16624
"153","Victoria",2009,89425
"154","Victoria",2010,16934
"155","Victoria",2011,18084
"156","Victoria",2012,19949
"157","Victoria",2013,39777
"158","Victoria",2014,64604
"159","Victoria",2015,18065
"160","Victoria",2016,61997
"161","Victoria",2017,30827
"162","Victoria",2018,21723
"163","Victoria",2019,173991
"164","Victoria",2020,610721
"165","Victoria",2021,26088
"166","Victoria",2022,10499
"167","Victoria",2023,10409
"168","Victoria",2024,14374
"169","Western Australia",2001,7960
"170","Western Australia",2002,17622
"171","Western Australia",2003,12455
"172","Western Australia",2004,13061
"173","Western Australia",2005,16190
"174","Western Australia",2006,23374
"175","Western Australia",2007,23859
"176","Western Australia",2008,21575
"177","Western Australia",2009,15897
"178","Western Australia",2010,13036
"179","Western Australia",2011,12949
"180","Western Australia",2012,14950
"181","Western Australia",2013,12870
"182","Western Australia",2014,19112
"183","Western Australia",2015,61879
"184","Western Australia",2016,64542
"185","Western Australia",2017,32497
"186","Western Australia",2018,31429
"187","Western Australia",2019,52729
"188","Western Australia",2020,54380
"189","Western Australia",2021,26069
"190","Western Australia",2022,24206
"191","Western Australia",2023,23586
"192","Western Australia",2024,35987
